gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TenureGroup,EngagementScore,churn_prob,risk_band,recommended_action,top_drivers
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,47.95,47.95,0-1yr,1,0.36221885942223797,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,45.1,0-1yr,0,0.5018686625806172,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,45.0,0-1yr,0,0.5399665574017999,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,2122.45,1-2yr,3,0.44895613788844185,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,20.05,0-1yr,0,0.2152282333619445,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,4931.8,4-6yr,2,0.48977822657535036,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,116.95,0-1yr,0,0.09171743066392879,Low,No offer; monitor,Low tenure (early lifecycle); Low service engagement
Male,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),108.65,6937.95,4-6yr,5,0.04451527341350336,Low,No offer; monitor,Fiber optic internet; High monthly charges
Female,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.3,1261.7,4-6yr,0,0.023464040443135513,Low,No offer; monitor,Electronic check payment; Low service engagement
Male,0,No,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.95,3273.8,2-4yr,4,0.15135868349119552,Low,No offer; monitor,Month-to-month contract; Electronic check payment
Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,1415.85,4-6yr,0,0.0022141712959232672,Low,No offer; monitor,Low service engagement
Male,0,Yes,No,59,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),66.4,3958.2,4-6yr,4,0.026449443969096254,Medium,Low-cost nudge + service engagement bundle,No dominant driver flagged
Male,0,No,No,69,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),35.75,2492.25,4-6yr,2,0.03396745650058715,Low,No offer; monitor,No dominant driver flagged
Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.8,279.2,1-2yr,0,0.03380383379500344,High,Priority retention offer + contract/autopay push,Low service engagement
Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1083.0,4-6yr,0,0.005330594889636744,Low,No offer; monitor,Low service engagement
Female,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.3,755.5,2-4yr,0,0.017919688255882162,Medium,Low-cost nudge + service engagement bundle,Low service engagement
Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.55,402.6,0-1yr,0,0.41670561437196596,High,Priority retention offer + contract/autopay push,Month-to-month contract; Electronic check payment; Low service engagement
Female,1,Yes,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.45,3252.0,2-4yr,3,0.08990781025598095,Low,No offer; monitor,Month-to-month contract
Female,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,0-1yr,1,0.7167759780212648,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.2,46.2,0-1yr,0,0.3550261017928212,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,45.15,0-1yr,0,0.45105136443495025,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,1,No,No,1,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,43.3,43.3,0-1yr,3,0.7357794600372096,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.1,936.85,2-4yr,0,0.006857802613100257,Low,No offer; monitor,Low service engagement
Female,1,No,No,38,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),57.15,2250.65,2-4yr,2,0.09556191494721958,Low,No offer; monitor,Month-to-month contract
Female,0,Yes,No,65,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),58.9,3857.1,4-6yr,3,0.005893615124056658,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.2,1441.1,1-2yr,1,0.383054809072312,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.35,4338.6,4-6yr,2,0.3660600574152673,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.45,1378.45,4-6yr,0,0.0021854902048308654,Low,No offer; monitor,Low service engagement
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,0-1yr,0,0.3632852673841537,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,1,No,No,52,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.5,2566.3,4-6yr,4,0.22806806986708744,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Electronic check payment
Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.1,171.0,0-1yr,0,0.1167174571319018,Medium,Low-cost nudge + service engagement bundle,Low tenure (early lifecycle); Low service engagement
Female,1,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,60.7,1597.4,2-4yr,2,0.12760555777439153,Low,No offer; monitor,No dominant driver flagged
Male,1,No,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,99.0,4744.35,2-4yr,3,0.3199372855061481,Medium,Low-cost nudge + service engagement bundle,Fiber optic internet; Electronic check payment; High monthly charges
Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.4,6721.6,4-6yr,4,0.12544441554553018,Low,No offer; monitor,Fiber optic internet; High monthly charges
Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.75,247.25,0-1yr,2,0.6532665376404603,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.05,44.05,0-1yr,0,0.46300364577235303,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.1,1734.65,4-6yr,0,0.0029127447633438483,Low,No offer; monitor,Low service engagement
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.55,45.55,0-1yr,0,0.44273920833050756,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.8,4539.35,4-6yr,3,0.34880508047914843,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,804.25,2-4yr,0,0.006959424297201443,Low,No offer; monitor,Low service engagement
Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),70.65,5011.15,4-6yr,4,0.008934916937708908,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.45,3574.5,2-4yr,5,0.020515028441132892,High,Priority retention offer + contract/autopay push,High monthly charges
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.1,8086.4,4-6yr,6,0.046058285120347826,High,Priority retention offer + contract/autopay push,Fiber optic internet; High monthly charges
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.2,4563.0,2-4yr,2,0.2368148322796264,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.55,6362.35,4-6yr,6,0.010910187131874225,Low,No offer; monitor,High monthly charges
Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,67.1,0-1yr,0,0.24200468441232734,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,70.05,0-1yr,0,0.7224866673810152,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.0,165.45,0-1yr,1,0.8084490032163278,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,26,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.65,1156.55,2-4yr,3,0.2578906130734118,Low,No offer; monitor,Month-to-month contract
Male,0,Yes,Yes,29,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.2,1834.15,2-4yr,2,0.14873353090501812,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract
Female,1,Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.5,3653.35,2-4yr,4,0.32769263270309834,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Male,0,No,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),55.45,1477.65,2-4yr,2,0.05062592424854317,Low,No offer; monitor,No dominant driver flagged
Male,0,Yes,Yes,24,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),70.3,1706.45,1-2yr,4,0.08682992984637329,Low,No offer; monitor,Month-to-month contract
Male,0,Yes,Yes,67,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.4,3953.7,4-6yr,3,0.006918603288082519,Medium,Low-cost nudge + service engagement bundle,No dominant driver flagged
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,72.65,1194.3,1-2yr,0,0.49122216293835136,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,23,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),55.8,1327.85,1-2yr,2,0.06215458489461416,Low,No offer; monitor,No dominant driver flagged
Male,0,No,No,14,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,31.1,419.7,1-2yr,1,0.3100754131055806,Low,No offer; monitor,Month-to-month contract; Low service engagement
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.0,21.0,0-1yr,0,0.31595883435634253,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Female,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.1,45.1,0-1yr,0,0.41834565759025744,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,1,No,No,4,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.95,207.35,0-1yr,3,0.6757988006025749,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle)
Male,0,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.1,1083.7,1-2yr,3,0.27306876646225064,High,Priority retention offer + contract/autopay push,Month-to-month contract; Electronic check payment
Female,0,Yes,No,46,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,43.95,2007.85,2-4yr,2,0.2694033520453849,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Electronic check payment
Male,0,No,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.5,5882.75,4-6yr,5,0.016746130371420663,Low,No offer; monitor,High monthly charges
Male,0,No,No,38,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,69.95,2657.55,2-4yr,4,0.07948849474602203,Low,No offer; monitor,Month-to-month contract; Electronic check payment
Male,1,Yes,No,30,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.4,1527.5,2-4yr,1,0.18882303410073592,Low,No offer; monitor,Month-to-month contract; Low service engagement
Female,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.95,378.4,0-1yr,1,0.7155043289902168,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.95,1612.2,1-2yr,3,0.4220148091741001,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,76.65,0-1yr,0,0.04405204522057339,Low,No offer; monitor,Low tenure (early lifecycle); Low service engagement
Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.15,260.7,0-1yr,0,0.09274932761710201,Low,No offer; monitor,Electronic check payment; Low service engagement
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.6,6441.85,4-6yr,6,0.013509455117958464,Low,No offer; monitor,High monthly charges
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.0,266.8,0-1yr,2,0.7914526221358933,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.45,5124.6,4-6yr,3,0.33380089004581504,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.85,962.25,2-4yr,0,0.029162365216674473,Medium,Low-cost nudge + service engagement bundle,Low service engagement
Male,0,No,No,40,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),36.0,1382.9,2-4yr,2,0.03940775419623654,Low,No offer; monitor,No dominant driver flagged
Female,0,No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.5,571.05,0-1yr,5,0.380464821903313,Low,No offer; monitor,Month-to-month contract; Electronic check payment
Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,1399.35,4-6yr,0,0.002760023801966429,Low,No offer; monitor,Low service engagement
Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,150.0,0-1yr,0,0.07444653937363552,Medium,Low-cost nudge + service engagement bundle,Low service engagement
Female,0,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.5,167.2,0-1yr,1,0.5583982102025453,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),106.1,7657.4,4-6yr,5,0.021316973581288402,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,865.05,2-4yr,0,0.016651721367113567,Low,No offer; monitor,Low service engagement
Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,95.5,6153.85,4-6yr,3,0.1998014674775811,Low,No offer; monitor,Fiber optic internet; Electronic check payment; High monthly charges
Female,0,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,64.6,174.2,0-1yr,2,0.4739543181552851,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Male,0,No,No,24,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.1,1269.6,1-2yr,1,0.11677939746969558,Low,No offer; monitor,Month-to-month contract; Low service engagement
Female,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,3862.55,2-4yr,2,0.274778933086592,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Female,1,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.1,6352.4,4-6yr,6,0.013909885852620122,Low,No offer; monitor,High monthly charges
Male,0,No,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.95,1348.5,1-2yr,2,0.08748300683038149,Low,No offer; monitor,Month-to-month contract; Electronic check payment
Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.9,50.9,0-1yr,1,0.35546717236041114,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.45,471.55,1-2yr,0,0.08395062663555462,Low,No offer; monitor,Month-to-month contract; Low service engagement
Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.95,5931.75,4-6yr,5,0.0198424338120883,Medium,Low-cost nudge + service engagement bundle,High monthly charges
Male,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,60.35,1404.65,2-4yr,1,0.28467402010306564,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low service engagement
Male,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.8,726.1,2-4yr,0,0.008476167180363476,Low,No offer; monitor,Low service engagement
Female,1,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.35,1961.6,1-2yr,1,0.44248371808687975,High,Priority retention offer + contract/autopay push,Month-to-month contract; Fiber optic internet; High monthly charges
Female,0,Yes,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),72.1,4194.85,4-6yr,3,0.027881467988528846,Low,No offer; monitor,No dominant driver flagged
Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4872.45,4-6yr,3,0.5665406135617592,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.35,5118.95,2-4yr,4,0.307586880607325,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,658.95,2-4yr,0,0.0629800961818582,Low,No offer; monitor,Month-to-month contract; Low service engagement
Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,81.05,0-1yr,1,0.742712405560691,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.5,76.95,0-1yr,0,0.31712776314244895,Low,No offer; monitor,Month-to-month contract; Electronic check payment; Low tenure (early lifecycle)
Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,4-6yr,5,0.241278018040398,Low,No offer; monitor,Fiber optic internet; High monthly charges
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0-1yr,0,0.203501154076909,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.7,415.9,1-2yr,0,0.04540604513063664,Low,No offer; monitor,Low service engagement
Female,0,No,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.1,246.5,0-1yr,2,0.5930450668688592,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; Electronic check payment
Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,996.95,4-6yr,0,0.023520957628287674,Low,No offer; monitor,Low service engagement
Female,0,Yes,No,51,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.5,3145.15,4-6yr,3,0.0313315478804062,Low,No offer; monitor,No dominant driver flagged
Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,265.3,1-2yr,0,0.020950508499004705,Low,No offer; monitor,Low service engagement
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,20.9,0-1yr,0,0.20602762313562634,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.05,21.05,0-1yr,0,0.23891880878143062,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,71.5,4576.3,4-6yr,4,0.024162207319195692,Low,No offer; monitor,Electronic check payment
Male,0,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,54.65,189.1,0-1yr,1,0.39554812737986444,Low,No offer; monitor,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.2,908.15,2-4yr,0,0.005459046911392905,Low,No offer; monitor,Low service engagement
Male,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,0-1yr,0,0.5143821339783857,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Low tenure (early lifecycle); Low service engagement
Male,0,No,Yes,8,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.5,215.2,0-1yr,0,0.37492903680504563,Low,No offer; monitor,Month-to-month contract; Low service engagement
Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,1500.95,4-6yr,0,0.002424043301965508,Low,No offer; monitor,Low service engagement
Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.4,5099.15,4-6yr,2,0.34091643282730355,Low,No offer; monitor,Month-to-month contract; Fiber optic internet; High monthly charges
Female,0,No,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),90.25,6385.95,4-6yr,3,0.07519829038434815,Medium,Low-cost nudge + service engagement bundle,Fiber optic internet; High monthly charges
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.75,159.45,0-1yr,1,0.6941981344849895,Medium,Low-cost nudge + service engagement bundle,Month-to-month contract; Fiber optic internet; Electronic check payment
Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.6,6885.75,4-6yr,4,0.0396691336657715,High,Priority retention offer + contract/autopay push,Fiber optic internet; High monthly charges
